Timestamp,Job Post Link,Job Title,Job Type,Seniority Level,Posted At,Company Name,Company Website,Salary,Description,Resume Path,Application URL,Relevance Score,Application Status,Notes
2026-02-08T14:35:54.031608,https://fr.linkedin.com/jobs/view/software-engineering-full-stack-intern-in-sydney-australia-at-inautalent-4366981885?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=Sqw4SyVslZJNoNVxLEdZNA%3D%3D&position=4&pageNum=0,"Software Engineering (Full-Stack) Intern - in Sydney, Australia",Full-time,Internship,2026-01-29,INAUTALENT,https://inautalent.com/,,,,https://fr.linkedin.com/jobs/view/software-engineering-full-stack-intern-in-sydney-australia-at-inautalent-4366981885?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=Sqw4SyVslZJNoNVxLEdZNA%3D%3D&position=4&pageNum=0,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.037002,https://fr.linkedin.com/jobs/view/stage-controlling-global-h-f-at-urgo-medical-4368275622?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=KyeLz%2FCnjBf4JvooFWukkw%3D%3D&position=7&pageNum=0,Stage Controlling Global (H/F),Internship,Internship,2026-02-03,Urgo Medical,http://urgomedical.com,,,,https://fr.linkedin.com/jobs/view/stage-controlling-global-h-f-at-urgo-medical-4368275622?refId=TDT4kYD8Vj5nWFUYbH8V7g%3D%3D&trackingId=KyeLz%2FCnjBf4JvooFWukkw%3D%3D&position=7&pageNum=0,0,Skipped,Skipped: Job title 'Stage Controlling Global (H/F)' doesn't match ML/Data keywords
2026-02-08T14:35:54.042001,https://fr.linkedin.com/jobs/view/solutions-engineer-intern-at-bigblue-4332308160?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=a21eGsX%2BTYhkExJy2sNeyg%3D%3D&position=7&pageNum=1,Solutions Engineer intern,Internship,Not Applicable,2025-10-27,Bigblue,https://www.bigblue.co/,,,,https://fr.linkedin.com/jobs/view/solutions-engineer-intern-at-bigblue-4332308160?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=a21eGsX%2BTYhkExJy2sNeyg%3D%3D&position=7&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.046090,https://fr.linkedin.com/jobs/view/operations-intern-r%C3%A9gion-centre-start-date-2026-at-amazon-4308670140?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=fMAlcvvNor83YcvyLt5BwQ%3D%3D&position=24&pageNum=1,Operations Intern - Région Centre - Start Date 2026,Full-time,Internship,2026-02-05,Amazon,https://www.aboutamazon.com/,,,,https://fr.linkedin.com/jobs/view/operations-intern-r%C3%A9gion-centre-start-date-2026-at-amazon-4308670140?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=fMAlcvvNor83YcvyLt5BwQ%3D%3D&position=24&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.051679,https://fr.linkedin.com/jobs/view/intern-film-grain-analysis-at-interdigital-inc-4365350699?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=TTufTbIQwywO9TStZrC9gw%3D%3D&position=8&pageNum=1,"Intern, Film Grain Analysis",Internship,Internship,2026-01-22,"InterDigital, Inc.",http://www.interdigital.com,,,,https://fr.linkedin.com/jobs/view/intern-film-grain-analysis-at-interdigital-inc-4365350699?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=TTufTbIQwywO9TStZrC9gw%3D%3D&position=8&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:54.056344,https://fr.linkedin.com/jobs/view/stage-aliad-venture-capital-operations-controller-intern-h-f-at-air-liquide-4369972084?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=iM%2Bhd5m4KtnVVwqxNEa3XQ%3D%3D&position=25&pageNum=1,Stage - ALIAD - Venture Capital & Operations Controller Intern H/F,Full-time,Internship,2026-02-06,Air Liquide,http://www.airliquide.com,,,,https://fr.linkedin.com/jobs/view/stage-aliad-venture-capital-operations-controller-intern-h-f-at-air-liquide-4369972084?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=iM%2Bhd5m4KtnVVwqxNEa3XQ%3D%3D&position=25&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:57.776476,https://fr.linkedin.com/jobs/view/stage-ing%C3%A9nieur-e-data-science-6-mois-at-verder-scientific-4366727481?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=Bj6q2dEh%2BgkJDXWuAApfbw%3D%3D&position=23&pageNum=1,Stage ingénieur(e) Data Science - 6 mois,Full-time,Internship,2026-01-13,VERDER SCIENTIFIC,https://www.verder-scientific.com,,,track\resumes\VERDER_SCIENTIFIC\Stage_ingénieur(e)_Data_Science_6_mois\resume_VERDER_SCIENTIFIC_Stage_ingénieur(e)_Data_Science_6_mois_2026-02-08.pdf,https://fr.linkedin.com/jobs/view/stage-ing%C3%A9nieur-e-data-science-6-mois-at-verder-scientific-4366727481?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=Bj6q2dEh%2BgkJDXWuAApfbw%3D%3D&position=23&pageNum=1,7,Applied,"Match: data scien, data scientist intern. Title contains ML/Data keywords: data scien"
2026-02-08T14:35:57.781030,https://fr.linkedin.com/jobs/view/stage-en-tourisme-at-indie-campers-4346307286?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=QrS%2BHMov5Y6o5O6QSC57tw%3D%3D&position=22&pageNum=1,Stage en Tourisme,Full-time,Internship,2025-12-26,Indie Campers,https://indiecampers.com,,,,https://fr.linkedin.com/jobs/view/stage-en-tourisme-at-indie-campers-4346307286?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=QrS%2BHMov5Y6o5O6QSC57tw%3D%3D&position=22&pageNum=1,0,Skipped,Skipped: Job title 'Stage en Tourisme' doesn't match ML/Data keywords
2026-02-08T14:35:57.786193,https://fr.linkedin.com/jobs/view/financial-analyst-intern-at-acca-careers-4365741298?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=rQ3egVgwyracXZgDzQZIcA%3D%3D&position=21&pageNum=1,Financial Analyst Intern,Internship,Internship,2026-01-23,ACCA Careers,https://jobs.accaglobal.com/,,,,https://fr.linkedin.com/jobs/view/financial-analyst-intern-at-acca-careers-4365741298?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=rQ3egVgwyracXZgDzQZIcA%3D%3D&position=21&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
2026-02-08T14:35:57.791965,https://fr.linkedin.com/jobs/view/fp-a-analyst-europe-apprentice-or-intern-f-h-at-catalina-marketing-costa-rica-4348313459?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=2M6B0KrPg%2BjfsZkLvbHPNg%3D%3D&position=20&pageNum=1,FP&A Analyst Europe Apprentice or Intern F/H,Internship,Internship,2025-12-03,Catalina Marketing Costa Rica,https://www.catalina.com,,,,https://fr.linkedin.com/jobs/view/fp-a-analyst-europe-apprentice-or-intern-f-h-at-catalina-marketing-costa-rica-4348313459?refId=yFhH1xivIxDLvR09urA0ew%3D%3D&trackingId=2M6B0KrPg%2BjfsZkLvbHPNg%3D%3D&position=20&pageNum=1,5,Skipped,"Skipped: Role match but missing technical keywords: machine learning engineer intern, data scientist intern, ai engineer intern, research intern"
